"Itel It5615, 3 SIM, синий",890,https://market.yandex.ru/product/648483165?offerid=ZdrLbgiMiG-RdWpOOKoqkA&sku=101788691393&cpc=bDFpNWerlLkCvjDpHplUjcQMOwTFJ1NUpG5gux7rr6ZKwoxGf-bLcLic4z_ph8nWxpK-seazH3fEfUmu2bgg324MuV88g0pTBcwOa-SImhOoySbiOr2jrkhQyo1YCdyi3wW1wZ5WkYfPBxGQQqjGKkTCTRrgBTYWi1-UrBUKvNAm_0YX9iqi0pSXf4X7g_J1sPne90J0Wb0&resale_goods=resale_resale&resale_goods_condition=resale_excellent,15,Электроника>Смартфоны и гаджеты>Смартфоны>Itel,4.4,51
"Смартфон Xiaomi POCO C40 4/64 ГБ RU, Dual nano SIM, коралловый зеленый",10764,https://market.yandex.ru/product/1756850794?offerid=bu3WxNWVQGaEA55k5F617w&sku=101793122643&cpc=bDFpNWerlLkrQBtrOh419FPDi4Jxbax9JEZC0qQYQXA2lyuEjAT1gmDaAqEHobKmWmrEqO_AJ2MIcjA8TrZfX3ppD5bFFfRgAEku9Oeki2GgopAt9Xg53PZHsbY6SORBCaH0wJ8FK7uDAApL-4gWur9GY5mWiFufP-TVQbQ7c7qwc9xEtgz9iaQs70iRp26k94h2gfqKZqM,5,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.6,1807
"Nokia 106 (2018), 2 SIM, черный",900,https://market.yandex.ru/product/233805103?offerid=9QrR7HWkcChmMh1LGfKu0w&sku=100485519957&cpc=bDFpNWerlLnaB8lU761X8Sf0eSWhit7W9Wiqm02jXFxj4lCAFWlpdySLjA40BjjPqZ9L-4yV1ZnEeh4_QiAXuIqnA_o9K0Im6hmdLClataS0AnHXASS0Lh0a2YXIrnNLW6T1QjA0rkwEr_7_rQ3ynsulKrVZFjs4ktaNn76jazOkcBfgaNLpDPddGdE4rAfnFsokt2hX05Q,1,Электроника>Смартфоны и гаджеты>Смартфоны>Nokia,4.1,466
"Смартфон TECNO Camon 19 Pro 8/128 ГБ, Dual nano SIM, полярный синий",12624,https://market.yandex.ru/product/1763457777?offerid=g1rIOOL3upgNsBt_XGyxgw&sku=101796314344&cpc=bDFpNWerlLkhbbTFllQT1tPUWEgwERp5j_XedkMnbN08Pg6sfZQJDbkitycvHDq0gSIHOs6KaT05r3EKnFg24oUAFLsy5-aOcQTy9cWLGgzMoR5F-YEvYbL5glofSCb98sY1sMNHXTixjjGQ5iTbtgLKBUkXdaI0WckK7vm_pXX9LjQLtnocjGtTrbEqLGNG37EDQC1oTA_-QyPM5AA6j0jCXesGaZ7pY8Ode4XhuYaWrkPw7K0K8p6N3zWXqJYpnZkaDES9L4tLlLJo-D-RJA&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>TECNO,4.8,684
"Телефон Itel it2173, 2 SIM, черный",650,https://market.yandex.ru/product/838612029?offerid=F83Qsv5yTJZJIAP8a-iKvA&sku=101188199943&cpc=bDFpNWerlLmELvVAqO7yRzMAsFFMmLblJEhxSgE8nP8nAP35-iCyylYPvLEfgrV7yKT3PuOfkw3aoBCDlyoVmAQ57NwArJmb1I_TJ0VdAK3IzlZ3jkmZL71syJEcsvsVaHRme2PwxzcfUwIzmS992yLxNFGANVF0dABZ_ILTCUbuAitPbrH8GDvcnuv8mINIhlCJcX0RK19MHfNsfB2YABxUmk6AOab82LKbyR0EZ3aUPo7rzy8L6qVwxutlDpzIRg-UqInYk1xAXXG8G8zR0g,78,Электроника>Смартфоны и гаджеты>Смартфоны>Itel,4.5,39
"Телефон Nobby 240C, 2 SIM, темно-серый",799,https://market.yandex.ru/product/235951930?offerid=PWDHSA_cFJm_exKeslrj3w&sku=100488069966&cpc=bDFpNWerlLlS9ILqef1-nIhNWpLF-LjPpQCfNdgEYuMYQHuXX2fQrxM03C8lUse3cId590jACrO_93B9IYlN6czhgRjGo_F5efkeiZBzHuQWxgtf-oGO0kidF8Pp4lPd8cyJxTaeQB5gJYMcuAcwVnZSsbtzT9kdz079RL-GzlnGlKCcLcZw8YbCABd5dCFzARSuwy0JoVV_V5TaEBd2xVkdS9DJwUAn9ML0lZo_mUOb6ypkCKLFkCzfsvOjBAr9vKt9TZkVvD-Jf_lKKq7uIg&resale_goods=resale_resale&resale_goods_condition=resale_well,28,Электроника>Смартфоны и гаджеты>Смартфоны>Nobby,4.0,20
Смартфон Tecno CAMON 20 Pro 5G CK8N 8/256 ГБ черный,24990,https://market.yandex.ru/product/1875157666?offerid=j7M-Of9r9aXWnPgXa7S5Wg&sku=102049151409&cpc=bDFpNWerlLl4Bl12nBu7jAbV-sd6BGr6jvcxgQV18WQY3RE-m__kqFkIzDfC9OBqr3rfCyX6_bU3_sLacl0dELS8eQxb6-c7WERdUNftBgjPhuTeK0w3CEg4kLAL9AgGobIdy38FKn8gQJNOpifXKYgc4utj4PylKuxkx9D1AP_qpGnYGSRc48jzZzl3MTGVoov-QlJQlIelRUc_DZvY_Rqdhc0cDEvQPsjrjzq2mRhfC9URyHzhMOMwdUNixoisFwxJ0vlReeVE821m4T2eeg,18,Электроника>Смартфоны и гаджеты>Смартфоны>Tecno,4.8,32
"Смартфон Infinix Note 30 Pro (X678B) 8/256 ГБ Global для РФ, Dual nano SIM, волшебный черный",23990,https://market.yandex.ru/product/1864613979?offerid=b8vgIdr-6pto5O4VpWcfVA&sku=102026279771&cpc=bDFpNWerlLm-8WrLy-sohi4dvTiDUHPnVpecpy7mglJ4nUVtjynnzNjmGDmDIeIwhcNK2bBP4I8MQJMrsX7vCIocc5Umgr0IKZvZ59YbxkFBQ-q2TeSLlBrBXrUVawBZxxrUZejBmd3tV3I3wgZosvusDXklbjmHObsOt2u5T_xdNNEYJ4Wyf82QQ5S_mQHLL8VwaiSjLjI,26,Электроника>Смартфоны и гаджеты>Смартфоны>Infinix,4.8,251
"Телефон Philips Xenium E2602, 2 SIM, серый",2622,https://market.yandex.ru/product/1803357598?offerid=xDwr6CCsYRSNTnqcMwSV1w&sku=101895640091&cpc=bDFpNWerlLn7LKNsCB0-Wb-FdZxeeyjN3Tp6QhiFisFh3R5QpaJrnLIUM2GrOJVrfP8VAis1RsQc8Sy2_jFpPbbl1cpkc9VKBC0hMaDFZxdazHQWSf4odcj5gaBGNxu7RHbZ_XSsBKrW6-TRfnVZD6mLtHNKXEsQT3oUPwWzjtLOwZ23XG2OOrFx6hMzJMVWU6JrmskcoU4&resale_goods=resale_resale&resale_goods_condition=resale_well,1,Электроника>Смартфоны и гаджеты>Смартфоны>Philips,4.6,105
"Смартфон Xiaomi POCO F3 6/128 ГБ Global, Dual nano SIM, синий океан",17900,https://market.yandex.ru/product/870127071?offerid=KKsz_EwnRr2P9HcExzfxPQ&sku=101281702487&cpc=bDFpNWerlLkq5K5SRB6wUmJatSUAmJ4aC7xKLw0BHp3KBiQEQAeftqSx12Y3gGi-pju1ms9ajMrcI_DPePl4o9rV_bvwYIHrbKJEC_d1qUO2iVtgSh_YadMDWtm_Rm0lOQ5F98LUxrhpN5XW21FgEWh12q6F-lERScOzaLZMuowAYqAfMHqC3cNpCebBPSr-2S_0Dw021UQ&resale_goods=resale_resale,1,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.6,702
"Смартфон TECNO Camon 20 Pro 8/256 ГБ, Dual nano SIM, предрассветный черный",19900,https://market.yandex.ru/product/1875554173?offerid=ETEnlDcp6OadDBMx-XhYDg&sku=102051228769&cpc=bDFpNWerlLkBjr3WEvcvWLEmoQSTYAMO6n_zX8CvrY3Z-_DYnV2qDze0YD-LR82m4WV4IF8sqor7t2gY7OvuhFUbqlcUGGUqS9ljo0R_AXbvU55EJuyKNcDMW-vFqScBNoOLGvya6NKh8bimvWKe3ly7Ss850Iig06Ur1visYO6Si701IfWNy3i3D5Qd0K6H7M7v_Rcf86U-9dvj4DFZf7aBfLRIcV9Yb7AAHctGW45odp8xRFBGtq7W-aCpJ05RIsnANgPOmYqWs4WdhogOAg,2,Электроника>Смартфоны и гаджеты>Смартфоны>TECNO,4.8,170
"Смартфон Apple iPhone 15 128 ГБ, Dual nano SIM, черный",152440,https://market.yandex.ru/product/1912483624?offerid=GBFINPmv1Xa0FDYBO8iOkw&sku=102322338911&cpc=bDFpNWerlLlnvNkuvlskiPXhJgSPZazVue3f8DfNegJFLKS5N6NOmP2cZ4nIW_MFerrkEjh8COcV6REWU3pspeOrAv_ejrB8s441p7vvPvp6WEfonbfkLyASQeSXbybHZDLzm0TJm4PmNtSyZFFLMosUcOlzUCSj_-p_LrZ6MOtuhuSAVyXd-wBX4rmmGiA554x_YEFJtHk,1,Электроника>Смартфоны и гаджеты>Смартфоны>Apple,5.0,1
"Смартфон Apple iPhone 15 Pro 128 ГБ, Dual: nano SIM + eSIM, белый титан",174450,https://market.yandex.ru/product/1912827900?offerid=2iWq11l-OuM8Fnr9WMY0jQ&sku=102254215780&cpc=bDFpNWerlLnh-LJiHYandg14FmAOWJnisjHO6cYvZY1cXsA3vPXSCuBlJFNfnPXvn6z07ksFK7PULy6v8f2UCmR8yWTYfbRZlCZsc0dcaxiwqjwknFjX3FIGDsIOMSfZzpc9nLUa8hWHytlKtwK4JVAV3Uf0Wa3UvQz3uqWtHrl5u1Aq2pKg2KxxveCKZyDXk8SH6-4u0vk,1,Электроника>Смартфоны и гаджеты>Смартфоны>Apple,4.3,2
"Смартфон Apple iPhone 15 Pro Max 1 ТБ, Dual: nano SIM + eSIM, синий титан",322400,https://market.yandex.ru/product/1912857921?offerid=swtTaSQGMdM65isT-960Yw&sku=102254215792&cpc=bDFpNWerlLkoNB2BdhLZTbv6SgJbXXkUMQD16rP1xfKTfUFpC95DuWnxozHU9KGWILVclza4brYkpOHa3Pk3ir8xAX-4JnEzIQV-lbfTp7EDToywNUINhStevDFKw1RajcLp9KZ2yuOazZr88BDg2_AKKZOpb0wye15wiKv5Ehs92P9DxpHzjjFS9Q2H5KLTe2PvwQlxqc0,10,Электроника>Смартфоны и гаджеты>Смартфоны>Apple,5.0,4
"MAXVI P15, 3 SIM, черный",990,https://market.yandex.ru/product/44912576?offerid=gtMorlh-24N06iiOze35wg&sku=100326878672&cpc=vcwUlRONgjFuWAkkP7w-UqPQrW-O9dJTBoK4n1mLPWwbKTTrPqHunBth-jP_DuFmFvx9ElXPbWKPOifrjYC5Soiekx8ypWSGnOuDPpPkwQtUIxzLEOrYnlM6n4fjsnOfFdBbqDMRmklByjrFYUyH7s5hsA00LpEL01vDaJgIhx111SMW0iWNKhHyT4Ir_L4vNEZaBLm-aDc&resale_goods=resale_resale&resale_goods_condition=resale_well,1,Электроника>Смартфоны и гаджеты>Смартфоны>MAXVI,4.2,29
Телефон teXet TM-414,900,https://market.yandex.ru/product/250195541?hid=91491&nid=34512430&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>teXet,3.3,11
"Телефон Nobby 330T, 3 SIM, черный / серый",790,https://market.yandex.ru/product/227810675?offerid=rdVLsXGhrL6jXUPSITcPng&sku=100483611776&cpc=vcwUlRONgjHvVT7KMDTS23XkMUVIG3kfBQDXbGl8p3S9QF1KF5Evn10COzF3Te7mLEhtMCFdknXPb7M4QKGA4Bo-uQ5X1EMknA87EbOMYv6gc2kfJcv9IphDxf-U-fPwA2DOLpOAKh0tiM2H_nnlF_NIjVbiS0Y5B_G93qm-D5p7FOM4zwvUZfG_LG9BYN1R8GDkCpRgiNZkSrzL1D3tWFcjdPtLypdty136iyrLrkmvImU8B2PtF7ybobvRge4iWLfB1YUj4Xk5RR4I85Z1yw&resale_goods=resale_resale&resale_goods_condition=resale_well,70,Электроника>Смартфоны и гаджеты>Смартфоны>Nobby,3.9,41
